121520 | wpb 3275.2 | bsz 176.5 | num_updates 68947 | best_loss 2.078
2024-02-05 21:30:18 | INFO | fairseq.checkpoint_utils | Preparing to save checkpoint for epoch 17 @ 68947 updates
2024-02-05 21:30:18 | INFO | fairseq.trainer | Saving checkpoint to /pfs/work7/workspace/scratch/uxude-MT/train/train_punctuation_covost_enhancement/models/checkpoint17.pt
2024-02-05 21:30:19 | INFO | fairseq.trainer | Finished saving checkpoint to /pfs/work7/workspace/scratch/uxude-MT/train/train_punctuation_covost_enhancement/models/checkpoint17.pt
2024-02-05 21:30:20 | INFO | fairseq.checkpoint_utils | Saved checkpoint /pfs/work7/workspace/scratch/uxude-MT/train/train_punctuation_covost_enhancement/models/checkpoint17.pt (epoch 17 @ 68947 updates, score 2.095) (writing took 2.277395158074796 seconds)
2024-02-05 21:30:20 | INFO | fairseq_cli.train | end of epoch 17 (average epoch stats below)
2024-02-05 21:30:20 | INFO | train | epoch 017 | loss 1.831 | nll_loss 0.231 | ppl 1.17 | wps 57218.2 | ups 14.52 | wpb 3939.7 | bsz 205.9 | num_updates 68947 | lr 0.000120432 | gnorm 0.47 | loss_scale 16 | train_wall 262 | gb_free 29.8 | wall 4880
2024-02-05 21:30:20 | INFO | fairseq.tasks.fairseq_task | can_reuse_epoch_itr = True
2024-02-05 21:30:20 | INFO | fairseq.data.iterators | grouped total_num_itrs = 4056
2024-02-05 21:30:20 | INFO | fairseq.trainer | begin training epoch 18
2024-02-05 21:30:20 | INFO | fairseq_cli.train | Start iterating over samples
2024-02-05 21:30:24 | INFO | train_inner | epoch 018:     53 / 4056 loss=1.829, nll_loss=0.229, ppl=1.17, wps=33586.1, ups=8.64, wpb=3886.6, bsz=193.8, num_updates=69000, lr=0.000120386, gnorm=0.495, loss_scale=16, train_wall=6, gb_free=29.8, wall=4883
2024-02-05 21:30:31 | INFO | train_inner | epoch 018:    153 / 4056 loss=1.816, nll_loss=0.214, ppl=1.16, wps=58289.2, ups=14.75, wpb=3952.5, bsz=209.3, num_updates=69100, lr=0.000120299, gnorm=0.417, loss_scale=16, train_wall=6, gb_free=29.8, wall=4890
2024-02-05 21:30:37 | INFO | train_inner | epoch 018:    253 / 4056 loss=1.824, nll_loss=0.224, ppl=1.17, wps=58308.3, ups=14.84, wpb=3928.6, bsz=207.5, num_updates=69200, lr=0.000120212, gnorm=0.478, loss_scale=16, train_wall=6, gb_free=29.8, wall=4897
2024-02-05 21:30:44 | INFO | train_inner | epoch 018:    353 / 4056 loss=1.826, nll_loss=0.226, ppl=1.17, wps=57367.3, ups=14.69, wpb=3905.6, bsz=200.7, num_updates=69300, lr=0.000120125, gnorm=0.435, loss_scale=16, train_wall=6, gb_free=29.9, wall=4904
2024-02-05 21:30:51 | INFO | train_inner | epoch 018:    453 / 4056 loss=1.821, nll_loss=0.221, ppl=1.17, wps=57019.5, ups=14.68, wpb=3883.2, bsz=208.6, num_updates=69400, lr=0.000120038, gnorm=0.536, loss_scale=16, train_wall=6, gb_free=29.7, wall=4910
2024-02-05 21:30:58 | INFO | train_inner | epoch 018:    553 / 4056 loss=1.831, nll_loss=0.23, ppl=1.17, wps=58480, ups=14.86, wpb=3935.2, bsz=193.4, num_updates=69500, lr=0.000119952, gnorm=0.439, loss_scale=16, train_wall=6, gb_free=29.7, wall=4917
2024-02-05 21:31:04 | INFO | train_inner | epoch 018:    653 / 4056 loss=1.83, nll_loss=0.23, ppl=1.17, wps=58947, ups=14.95, wpb=3943.7, bsz=196.1, num_updates=69600, lr=0.000119866, gnorm=0.494, loss_scale=16, train_wall=6, gb_free=29.7, wall=4924
2024-02-05 21:31:11 | INFO | train_inner | epoch 018:    753 / 4056 loss=1.823, nll_loss=0.223, ppl=1.17, wps=58482.1, ups=14.7, wpb=3978, bsz=216.4, num_updates=69700, lr=0.00011978, gnorm=0.42, loss_scale=16, train_wall=7, gb_free=29.8, wall=4931
2024-02-05 21:31:18 | INFO | train_inner | epoch 018:    853 / 4056 loss=1.82, nll_loss=0.22, ppl=1.16, wps=58667.9, ups=14.78, wpb=3970.6, bsz=210, num_updates=69800, lr=0.000119694, gnorm=0.453, loss_scale=16, train_wall=6, gb_free=29.8, wall=4937
2024-02-05 21:31:25 | INFO | train_inner | epoch 018:    953 / 4056 loss=1.833, nll_loss=0.233, ppl=1.18, wps=58210.1, ups=14.84, wpb=3923.7, bsz=200.4, num_updates=69900, lr=0.000119608, gnorm=0.488, loss_scale=16, train_wall=6, gb_free=29.7, wall=4944
